Date,Open,Close,Low,High
11/07/2016,489.37,490.7,488.1,492.76
12/07/2016,491.57,496.33,490.83,497.29
13/07/2016,496.77,499.47,496.28,503.11
14/07/2016,499.25,498.48,494.81,502.52
15/07/2016,500.24,501.5,497.19,505.51
18/07/2016,508.66,497.39,488.4,514.6
19/07/2016,499.25,502.91,492.93,506.08
20/07/2016,505.19,506.45,503.7,509.2
21/07/2016,507.17,498.6,498.01,507.44
22/07/2016,497.76,502.62,497.34,503.83
25/07/2016,503.21,505.51,499.15,506.08
26/07/2016,505.88,506.83,502.81,512.2
27/07/2016,507.67,501.75,500.24,508.61
28/07/2016,504.4,508.19,501.48,510.04
29/07/2016,508.06,502.96,501.33,508.06
01/08/2016,503.48,499.89,497.91,505.61
02/08/2016,499.69,500.76,498.75,504.45
03/08/2016,501.01,492.34,491.32,501.75
04/08/2016,495.29,491.89,487.61,496.28
05/08/2016,492.91,502.49,492.91,503.95
08/08/2016,503.78,509.97,503.78,511.88
09/08/2016,509.35,510.07,505.83,511.83
10/08/2016,510.12,496.67,495.81,512.37
11/08/2016,497.27,501.45,495.41,506.18
12/08/2016,502.71,512.6,502.66,515.96
16/08/2016,512.62,507.27,503.21,517.08
17/08/2016,506.68,502.22,499.35,509.55
18/08/2016,502.89,503.51,502.79,506.75
19/08/2016,500.73,502.64,498.88,506.03
22/08/2016,504.15,502.17,498.9,505.36
23/08/2016,501.72,500.19,497.81,502.62
24/08/2016,502.47,505.56,500.78,506.23
25/08/2016,505.44,501.77,500.24,509.4
26/08/2016,502.62,509,502.54,510.14
29/08/2016,509,523.52,508.66,524.98
30/08/2016,524.61,527.87,521.66,529.95
31/08/2016,527.92,524.01,518.59,531.71
01/09/2016,521.98,509.72,508.29,531.22
02/09/2016,511.13,501.65,496.82,512.62
06/09/2016,505.19,505.41,502.22,507.64
07/09/2016,505.24,503.93,502.22,508.53
08/09/2016,505.44,511.26,505.19,512.87
09/09/2016,512.12,516.93,510.24,519.88
12/09/2016,512.12,518.37,507.72,522.85
14/09/2016,518.07,517.8,515.42,524.01
15/09/2016,518.56,526.22,518.56,528.96
16/09/2016,527.48,532.75,524.88,541.47
19/09/2016,532.38,536.07,530.48,538.62
20/09/2016,537.41,531.99,529.51,537.88
21/09/2016,531.94,530.62,528.47,537.14
22/09/2016,534.91,538.7,534.46,542.58
23/09/2016,538.87,546.27,538.87,549.37
26/09/2016,546.05,549.44,545.8,559.13
27/09/2016,551.28,549.99,548.43,557.54
28/09/2016,549.77,539.71,538.52,551.25
29/09/2016,542.34,531.22,528.72,549.77
30/09/2016,529.95,535.95,528.47,541.57
03/10/2016,537.14,540.06,533.4,548.45
04/10/2016,541.79,542.44,540.85,548.78
05/10/2016,546.37,539.51,537.76,547.69
06/10/2016,540.85,550.31,540.85,557.1
07/10/2016,550.31,549.74,548.55,556.03
10/10/2016,552.24,542.81,541.25,555.71
13/10/2016,541.69,523.86,521.06,541.69
14/10/2016,525.25,534.02,524.01,535.87
17/10/2016,534.41,525.08,524.01,535.23
18/10/2016,526.98,534.56,526.39,535.9
19/10/2016,536.47,538.33,535.6,542.09
20/10/2016,540.83,539.12,537.43,543.72
21/10/2016,544.32,527.18,524.51,544.32
24/10/2016,528.96,526.76,525.25,531.94
25/10/2016,526.59,524.95,522.28,527.68
26/10/2016,524.01,522.1,521.04,524.61
27/10/2016,521.54,519.31,516.68,522.03
28/10/2016,520.05,521.78,517.05,523.02
30/10/2016,523.52,520.64,518.98,527.48
01/11/2016,520.54,519.21,518.93,522.53
02/11/2016,516.09,507.2,505.74,516.11
03/11/2016,507.2,507.89,506.23,512.37
04/11/2016,505.83,498.16,495.56,508.73
07/11/2016,500.91,496.25,495.04,503.46
08/11/2016,497.04,496.7,494.47,499.74
09/11/2016,465.57,498.03,461.61,499.69
10/11/2016,503.48,500.24,499.37,509.35
11/11/2016,495.29,495.98,492.98,503.85
15/11/2016,496.18,489.14,485.65,496.18
16/11/2016,489.99,488.28,486.37,493.65
17/11/2016,488.85,486.02,483.32,494.29
18/11/2016,486.94,489.09,486.82,491.4
21/11/2016,489.34,490.78,487.11,492.16
22/11/2016,492.44,495.83,492.34,499
23/11/2016,497.76,498.88,495.04,499.49
24/11/2016,498.7,490.65,488.35,498.7
25/11/2016,490.83,492.14,487.86,493.3
28/11/2016,492.71,488.57,487.36,495.31
29/11/2016,488.9,493.23,488.9,496.62
30/11/2016,493.8,491.69,489.34,494.1
01/12/2016,493.38,493.9,492.56,502.52
02/12/2016,492.81,492.96,491.84,498.06
05/12/2016,492.31,492.36,489.12,494.67
06/12/2016,492.81,496.94,492.81,497.71
07/12/2016,498.75,495.14,493.13,498.75
08/12/2016,496.82,504.97,496.82,505.69
09/12/2016,505.44,508.36,505.34,509.95
12/12/2016,508.58,509.2,506.26,515.1
13/12/2016,511.13,515.05,509.4,516.09
14/12/2016,514.85,525,514.8,527.18
15/12/2016,523.39,522.13,520.54,528.37
16/12/2016,520.05,523.79,520.05,525.99
19/12/2016,524.01,526.07,522.53,527.87
20/12/2016,523.66,524.56,522.03,525.99
21/12/2016,524.51,525.72,523.27,528.15
22/12/2016,524.95,522.01,520.22,525.77
23/12/2016,520.35,524.09,520.35,529.19
26/12/2016,522.82,518.61,517.57,527.97
27/12/2016,518.61,527.18,518.61,528.32
28/12/2016,528.96,521.14,519.26,529.91
29/12/2016,520.87,527.45,519.8,529.26
30/12/2016,528.37,534.96,526.98,537.24
02/01/2017,535.58,536.44,531.52,539.59
03/01/2017,536.96,540.18,535.53,543.33
04/01/2017,540.93,529.43,527.65,541.07
05/01/2017,531.44,533.62,529.46,534.66
06/01/2017,532.58,531.29,531.22,537.38
09/01/2017,534.41,533.47,530.5,537.73
10/01/2017,534.41,538.42,534.04,540.85
11/01/2017,542.02,536.94,535.9,542.34
12/01/2017,539.09,536.47,534.49,539.86
13/01/2017,537.73,539.93,537.48,543.13
16/01/2017,540.55,533.42,531.94,541.77
17/01/2017,529.06,515.74,514.11,532.28
18/01/2017,516.58,511.36,509.65,519.13
19/01/2017,511.8,512,510.64,517.4
20/01/2017,511.63,508.01,507.37,513.96
23/01/2017,507.17,503.18,502.24,510.64
